year,avg_word_count,median_word_count,sd_word_count,p25_word_count,p75_word_count,avg_sentence_count,median_sentence_count,avg_sentence_length,median_sentence_length,sd_sentence_length,avg_fk_grade,median_fk_grade,sd_fk_grade
2010,1492.037825721483,230,7797.874999530712,108,756,99.95558980106472,17,14.000884754607245,14.000884754607245,NA,11.793277251119445,11.060828074294244,3.6145333102553874
2011,1202.4049630411757,140,7164.967775974248,72,273.75,85.60749736008448,13,12.768746493311747,12.768746493311747,NA,12.648195062704488,11.810500000000001,4.569354378630304
2012,1396.1387530562424,205,8742.941507360814,77,420,97.58037897310514,15,13.370757502536582,13.370757502536582,NA,12.679851699885191,11.846054359293943,4.667872758340595
2013,1052.13002492143,198,6542.330130347839,79,269,72.54014519449561,15,13.160842559220674,13.160842559220674,NA,12.728584448001227,11.86205568028738,4.576211880662299
2014,1439.9005424954887,210,8978.42756545974,84,408.25,96.59975889089813,15,13.570311050143788,13.570311050143788,NA,12.946962935859638,11.997836547921471,4.465190665695843
2015,1277.5671286271254,163,10144.73168841479,74,268,88.93265482893027,13,12.877603841944005,12.877603841944005,NA,13.027682232180073,12.149999999999999,4.262270296248275
2016,1355.3534063260313,218,9545.201010924984,86,532,96.69829683698296,16,13.445358172083893,13.445358172083893,NA,12.948029336075166,12.046923076923083,4.495794696573156
2017,1110.301556813606,203,7603.477325835195,78,292,76.68297614233724,15,13.029349553178344,13.029349553178344,NA,12.891889298883024,12.024180107526885,4.4550130896792695
2018,1420.3536439665709,212,11377.690678518,79,479,100.48320722155847,16,13.153774344848614,13.153774344848614,NA,12.95196481202284,11.970740740740741,4.654981817030297
2019,1095.2146868250518,170,7683.8172130048115,71,272,73.75064794816414,13,12.883980454971335,12.883980454971335,NA,12.931628604965436,11.985080127063295,4.590778248089298
2020,1495.6727059218385,154,17451.106463528857,68,292,92.9677906391545,13,12.976885386462856,12.976885386462856,NA,13.34304747563979,12.149999999999999,5.334814404255897
2021,1181.9229190714339,103,11295.975466882852,63,257,77.55470052584327,10,12.893763338174804,12.893763338174804,NA,13.433431641094238,12.07152823920266,5.516030765083807
2022,1485.6528213166123,194,16342.5965534967,71,445,97.61473354231975,14,13.835311531138425,13.835311531138425,NA,13.501238687989947,12.005660377358492,5.844129759120617
2023,711.6105655930924,96,5082.404212336974,71,235,52.146406127258444,9,12.480860057452805,12.480860057452805,NA,13.303974141724511,12.680000000000003,3.6497773605684407
2024,953.6270666036847,134,6934.204450652092,76,311,68.49090694378837,12,13.06077783836278,13.06077783836278,NA,13.306211276092904,12.673616777154516,3.997007052956254
2025,824.3101058961872,199,7647.683496867312,70,318,60.960386978690025,15,12.74194768794329,12.74194768794329,NA,12.70309010443714,11.805961538461542,4.491864053113505
