year,fk_p10,fk_p25,fk_p50,fk_p75,fk_p90,sentence_p10,sentence_p25,sentence_p50,sentence_p75,sentence_p90,wordcount_p10,wordcount_p25,wordcount_p50,wordcount_p75,wordcount_p90
2010,8.6140321969697,9.55257142857143,11.060828074294244,13.01418560606061,15.954151202198446,7.75,10.5364010989011,13.666666666666666,16.272727272727273,19.52789360172538,63,108,230,756,2915
2011,8.743152100963707,10.114432432432434,11.8105,13.784092185903987,16.529923174849174,7.428571428571429,9.142857142857142,12.333333333333334,15.31607972136223,18.214285714285715,57,72,140,273.75,958
2012,8.80433023020856,10.135574894082275,11.846054359293944,13.782191780821922,16.43330701754386,7.857142857142857,10,13,15.818181818181818,18.83935135135135,61,77,205,420,1948.0999999999995
2013,8.976034348165497,10.283160377358492,11.86205568028738,13.78612903225807,16.484067353951893,8,9.72222222222222,12.818181818181818,15.44,18.307692307692307,59,79,198,269,897.2000000000007
2014,9.122788821226624,10.449975911724557,11.997836547921471,14.021292153047993,16.934059405940598,8.074175824175825,10.134052388289676,13.11111111111111,16.02143895348837,19,60,84,210,408.25,2420.5
2015,9.276860927666762,10.705215060169188,12.15,14.137085512071,16.892289855072463,7.540584415584416,9.333333333333334,12.5,15.407754010695186,18.177124183006534,54,74,163,268,1129
2016,9.005080664633505,10.440012737378419,12.046923076923084,14.123530077518485,17.020691499900934,7.964848484848485,10,13.066666666666666,15.737057808455566,18.832397003745317,57,86,218,532,2373
2017,9.230861792752705,10.552196197627987,12.024180107526885,13.9611842910573,16.59824175824176,8,9.690257352941178,12.666666666666666,15.20206880520688,18.172599805258027,55,78,203,292,1450.8999999999996
2018,9.081595175787918,10.402148325358851,11.97074074074074,13.984502164502164,17.348553191489366,7.755555555555556,9.714285714285714,12.789473684210526,15.333333333333334,18.5,55,79,212,479,2136
2019,9.290298815750004,10.654215529495382,11.985080127063295,13.778031094921339,16.580577340229617,7.555555555555555,9.2475,12.526315789473683,15.16785973084886,18.11111111111111,53,71,170,272,1262.5000000000018
2020,9.349,10.648823529411764,12.15,14.246276422764227,17.218461538461543,7.529411764705882,9.142857142857142,12.61904761904762,15.357142857142858,18.322916666666668,53,68,154,292,1546
2021,9.615235849056605,10.856156015037596,12.07152823920266,14.0294099378882,17.05247013733632,7.428571428571429,8.833333333333334,12.033333333333331,15,18.2,52,63,103,257,958
2022,9.260239917976763,10.455365480294846,12.005660377358492,14.134898070348102,17.997676646706584,7.571428571428571,9.428571428571429,13,15.636363636363637,19.200833333333335,52,71,194,445,1858.5000000000018
2023,9.786388986992135,11.200194580087846,12.680000000000003,14.696076393827337,17.213604505619152,8.333333333333334,9.571428571428571,11.736842105263158,14.5,16.936895161290323,58,71,96,235,736
2024,9.556603773584907,11.074272081873502,12.673616777154516,14.765494704715515,17.269069767441867,8.714285714285714,10.052919161676646,12.470588235294118,14.908724340175953,17.28106312292359,60,76,134,311,1392.3000000000002
2025,9.135999764739742,10.430000000000003,11.805961538461542,13.453597563411224,16.36590909090909,7.714285714285714,9.166666666666666,12.333333333333334,14.72222222222222,17.4,52,70,199,318,1060.7999999999993
