year,avg_fk_grade,median_fk_grade,sd_fk_grade,p25_fk_grade,p75_fk_grade
2010,11.793277251119445,11.060828074294244,3.6145333102553874,9.55257142857143,13.014185606060611
2011,12.648195062704488,11.810500000000001,4.569354378630304,10.114432432432434,13.784092185903985
2012,12.679851699885191,11.846054359293943,4.667872758340595,10.135574894082275,13.782191780821922
2013,12.728584448001227,11.86205568028738,4.576211880662299,10.283160377358492,13.78612903225807
2014,12.946962935859638,11.997836547921471,4.465190665695843,10.449975911724557,14.021292153047991
2015,13.027682232180073,12.149999999999999,4.262270296248275,10.705215060169188,14.137085512071
2016,12.948029336075166,12.046923076923083,4.495794696573156,10.44001273737842,14.123530077518486
2017,12.891889298883024,12.024180107526885,4.4550130896792695,10.552196197627989,13.9611842910573
2018,12.95196481202284,11.970740740740741,4.654981817030297,10.402148325358851,13.984502164502164
2019,12.931628604965436,11.985080127063295,4.590778248089298,10.654215529495382,13.778031094921339
2020,13.34304747563979,12.149999999999999,5.334814404255897,10.648823529411764,14.246276422764229
2021,13.433431641094238,12.07152823920266,5.516030765083807,10.856156015037595,14.0294099378882
2022,13.501238687989947,12.005660377358492,5.844129759120617,10.455365480294846,14.1348980703481
2023,13.303974141724511,12.680000000000003,3.6497773605684407,11.200194580087846,14.696076393827337
2024,13.306211276092904,12.673616777154516,3.997007052956254,11.074272081873502,14.765494704715515
2025,12.70309010443714,11.805961538461542,4.491864053113505,10.430000000000003,13.453597563411225
