year,avg_sentence_count,median_sentence_count,avg_sentence_length,median_sentence_length,sd_sentence_length,p25_sentence_length,p75_sentence_length
2010,99.95558980106472,17,14.000884754607245,14.000884754607245,NA,14.000884754607245,14.000884754607245
2011,85.60749736008448,13,12.768746493311747,12.768746493311747,NA,12.768746493311747,12.768746493311747
2012,97.58037897310514,15,13.370757502536582,13.370757502536582,NA,13.370757502536582,13.370757502536582
2013,72.54014519449561,15,13.160842559220674,13.160842559220674,NA,13.160842559220674,13.160842559220674
2014,96.59975889089813,15,13.570311050143788,13.570311050143788,NA,13.570311050143788,13.570311050143788
2015,88.93265482893027,13,12.877603841944005,12.877603841944005,NA,12.877603841944005,12.877603841944005
2016,96.69829683698296,16,13.445358172083893,13.445358172083893,NA,13.445358172083893,13.445358172083893
2017,76.68297614233724,15,13.029349553178344,13.029349553178344,NA,13.029349553178344,13.029349553178344
2018,100.48320722155847,16,13.153774344848614,13.153774344848614,NA,13.153774344848614,13.153774344848614
2019,73.75064794816414,13,12.883980454971335,12.883980454971335,NA,12.883980454971335,12.883980454971335
2020,92.9677906391545,13,12.976885386462856,12.976885386462856,NA,12.976885386462856,12.976885386462856
2021,77.55470052584327,10,12.893763338174804,12.893763338174804,NA,12.893763338174804,12.893763338174804
2022,97.61473354231975,14,13.835311531138425,13.835311531138425,NA,13.835311531138425,13.835311531138425
2023,52.146406127258444,9,12.480860057452805,12.480860057452805,NA,12.480860057452805,12.480860057452805
2024,68.49090694378837,12,13.06077783836278,13.06077783836278,NA,13.06077783836278,13.06077783836278
2025,60.960386978690025,15,12.74194768794329,12.74194768794329,NA,12.74194768794329,12.74194768794329
