year,num_speeches,avg_fk_grade,median_fk_grade,sd_fk_grade,p25_fk_grade,p75_fk_grade,avg_sentence_count,median_sentence_count,avg_sentence_length,median_sentence_length,sd_sentence_length,p25_sentence_length,p75_sentence_length,avg_word_count,median_word_count,sd_word_count,p25_word_count,p75_word_count
2010,7138,11.793277251119445,11.060828074294244,3.6145333102553874,9.55257142857143,13.014185606060611,99.95558980106472,17,14.000884754607245,14.000884754607245,NA,14.000884754607245,14.000884754607245,1492.037825721483,230,7797.874999530712,108,756
2011,9470,12.648195062704488,11.810500000000001,4.569354378630304,10.114432432432434,13.784092185903985,85.60749736008448,13,12.768746493311747,12.768746493311747,NA,12.768746493311747,12.768746493311747,1202.4049630411757,140,7164.967775974248,72,273.75
2012,6544,12.679851699885191,11.846054359293943,4.667872758340595,10.135574894082275,13.782191780821922,97.58037897310514,15,13.370757502536582,13.370757502536582,NA,13.370757502536582,13.370757502536582,1396.1387530562424,205,8742.941507360814,77,420
2013,9229,12.728584448001227,11.86205568028738,4.576211880662299,10.283160377358492,13.78612903225807,72.54014519449561,15,13.160842559220674,13.160842559220674,NA,13.160842559220674,13.160842559220674,1052.13002492143,198,6542.330130347839,79,269
2014,6636,12.946962935859638,11.997836547921471,4.465190665695843,10.449975911724557,14.021292153047991,96.59975889089813,15,13.570311050143788,13.570311050143788,NA,13.570311050143788,13.570311050143788,1439.9005424954887,210,8978.42756545974,84,408.25
2015,9236,13.027682232180073,12.149999999999999,4.262270296248275,10.705215060169188,14.137085512071,88.93265482893027,13,12.877603841944005,12.877603841944005,NA,12.877603841944005,12.877603841944005,1277.5671286271254,163,10144.73168841479,74,268
2016,6576,12.948029336075166,12.046923076923083,4.495794696573156,10.44001273737842,14.123530077518486,96.69829683698296,16,13.445358172083893,13.445358172083893,NA,13.445358172083893,13.445358172083893,1355.3534063260313,218,9545.201010924984,86,532
2017,9892,12.891889298883024,12.024180107526885,4.4550130896792695,10.552196197627989,13.9611842910573,76.68297614233724,15,13.029349553178344,13.029349553178344,NA,13.029349553178344,13.029349553178344,1110.301556813606,203,7603.477325835195,78,292
2018,7533,12.95196481202284,11.970740740740741,4.654981817030297,10.402148325358851,13.984502164502164,100.48320722155847,16,13.153774344848614,13.153774344848614,NA,13.153774344848614,13.153774344848614,1420.3536439665709,212,11377.690678518,79,479
2019,9260,12.931628604965436,11.985080127063295,4.590778248089298,10.654215529495382,13.778031094921339,73.75064794816414,13,12.883980454971335,12.883980454971335,NA,12.883980454971335,12.883980454971335,1095.2146868250518,170,7683.8172130048115,71,272
2020,5961,13.34304747563979,12.149999999999999,5.334814404255897,10.648823529411764,14.246276422764229,92.9677906391545,13,12.976885386462856,12.976885386462856,NA,12.976885386462856,12.976885386462856,1495.6727059218385,154,17451.106463528857,68,292
2021,7797,13.433431641094238,12.07152823920266,5.516030765083807,10.856156015037595,14.0294099378882,77.55470052584327,10,12.893763338174804,12.893763338174804,NA,12.893763338174804,12.893763338174804,1181.9229190714339,103,11295.975466882852,63,257
2022,6380,13.501238687989947,12.005660377358492,5.844129759120617,10.455365480294846,14.1348980703481,97.61473354231975,14,13.835311531138425,13.835311531138425,NA,13.835311531138425,13.835311531138425,1485.6528213166123,194,16342.5965534967,71,445
2023,10184,13.303974141724511,12.680000000000003,3.6497773605684407,11.200194580087846,14.696076393827337,52.146406127258444,9,12.480860057452805,12.480860057452805,NA,12.480860057452805,12.480860057452805,711.6105655930924,96,5082.404212336974,71,235
2024,8468,13.306211276092904,12.673616777154516,3.997007052956254,11.074272081873502,14.765494704715515,68.49090694378837,12,13.06077783836278,13.06077783836278,NA,13.06077783836278,13.06077783836278,953.6270666036847,134,6934.204450652092,76,311
2025,7649,12.70309010443714,11.805961538461542,4.491864053113505,10.430000000000003,13.453597563411225,60.960386978690025,15,12.74194768794329,12.74194768794329,NA,12.74194768794329,12.74194768794329,824.3101058961872,199,7647.683496867312,70,318
